City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Nikolskoye,RU,59.7035,30.7861,26.87,96,100,5.12,overcast clouds
100,Hirtshals,DK,57.5881,9.9592,39.02,75,100,22.1,overcast clouds
101,Katobu,ID,-4.9408,122.5276,85.87,64,83,5.99,broken clouds
102,Hobart,AU,-42.8794,147.3294,73.06,47,0,1.99,clear sky
103,Arraial Do Cabo,BR,-22.9661,-42.0278,76.62,87,54,26.49,broken clouds
104,Dingle,PH,10.9995,122.6711,81.64,69,98,19.26,overcast clouds
105,Viedma,AR,-40.8135,-62.9967,55.85,64,0,6.98,clear sky
106,Kyra,RU,49.5776,111.9753,5.9,81,61,3.78,broken clouds
107,Te Anau,NZ,-45.4167,167.7167,65.19,39,1,5.37,clear sky
108,Kichera,RU,55.9375,110.0997,8.17,96,100,2.59,light snow
109,Gimli,CA,50.6336,-96.9907,6.13,85,99,9.22,overcast clouds
110,Cherskiy,RU,68.75,161.3,-28.17,98,25,1.14,scattered clouds
111,Bodden Town,KY,19.2833,-81.25,78.8,72,0,3.0,clear sky
112,Alyangula,AU,-13.8483,136.4192,85.87,79,100,5.75,overcast clouds
113,Bandarbeyla,SO,9.4942,50.8122,73.35,76,10,7.54,clear sky
114,Khatanga,RU,71.9667,102.5,-20.13,98,99,5.44,overcast clouds
115,Khairagarh,IN,26.95,77.8167,47.82,82,0,2.64,clear sky
116,Namatanai,PG,-3.6667,152.4333,86.34,63,56,11.59,broken clouds
117,Vardo,NO,70.3705,31.1107,27.03,79,100,28.03,overcast clouds
118,Voi,KE,-3.3945,38.563,74.62,78,100,3.58,overcast clouds
119,Pascagoula,US,30.3658,-88.5561,42.84,87,0,0.0,clear sky
120,Namibe,AO,-15.1961,12.1522,72.23,67,85,8.86,overcast clouds
121,Sao Filipe,CV,14.8961,-24.4956,73.08,73,0,9.24,clear sky
122,Kendari,ID,-3.945,122.4989,83.61,75,79,8.21,broken clouds
123,Tabuk,PH,17.4189,121.4443,69.55,93,100,2.04,overcast clouds
124,Pangai,TO,-19.8,-174.35,77.11,94,75,6.91,broken clouds
125,Auki,SB,-8.7676,160.7034,83.39,79,80,8.81,broken clouds
126,Taoudenni,ML,22.6783,-3.9836,67.35,11,100,8.77,overcast clouds
127,Airai,TL,-8.9266,125.4092,73.17,63,59,2.46,broken clouds
128,Mount Isa,AU,-20.7333,139.5,91.17,29,40,10.36,scattered clouds
129,Aklavik,CA,68.2191,-135.0107,-31.97,88,60,0.6,broken clouds
130,Waingapu,ID,-9.6567,120.2641,85.33,69,86,10.74,overcast clouds
131,Berlevag,NO,70.8578,29.0864,24.39,83,57,25.84,broken clouds
132,Luderitz,NA,-26.6481,15.1594,66.76,81,92,10.16,overcast clouds
133,Avarua,CK,-21.2078,-159.775,82.45,78,75,19.57,broken clouds
134,Am Timan,TD,11.0297,20.2827,68.99,22,100,6.42,overcast clouds
135,Prince Albert,CA,53.2001,-105.7677,-0.45,65,100,2.3,overcast clouds
136,Dimbokro,CI,6.6451,-4.7048,77.32,81,74,3.49,broken clouds
137,Amapa,BR,1.0,-52.0,71.47,99,100,1.39,overcast clouds
138,Upernavik,GL,72.7868,-56.1549,-1.17,97,100,3.38,overcast clouds
139,Petatlan,MX,17.5167,-101.2667,84.0,77,0,3.15,clear sky
140,Hofn,IS,64.2539,-15.2082,29.91,64,100,15.3,overcast clouds
141,Esperance,AU,-33.8667,121.9,85.84,37,1,13.53,clear sky
142,Santa Marta,CO,11.2408,-74.199,80.65,61,6,13.8,clear sky
143,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,12.66,few clouds
144,Emba,KZ,48.8264,58.1442,16.99,97,100,0.67,overcast clouds
145,Grindavik,IS,63.8424,-22.4338,28.35,93,75,13.8,broken clouds
146,Guia De Isora,ES,28.2115,-16.7795,64.22,53,4,1.99,clear sky
