City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,povorino,RU,2022-02-05 02:29:45,51.1945,42.2457,12.76,97,90,7.27
168,lavrentiya,RU,2022-02-05 02:29:45,65.5833,-171.0,-8.81,82,1,8.86
169,tautira,PF,2022-02-05 02:29:46,-17.7333,-149.15,86.02,75,26,14.0
170,bosaso,SO,2022-02-05 02:29:46,11.2842,49.1816,72.01,51,0,4.59
171,krasnovishersk,RU,2022-02-05 02:29:46,60.4078,57.082,12.22,94,100,3.0
172,saint-philippe,RE,2022-02-05 02:29:47,-21.3585,55.7679,80.15,89,100,25.64
173,mandera,KE,2022-02-05 02:29:47,3.9366,41.867,73.96,25,44,4.76
174,magadan,RU,2022-02-05 02:29:48,59.5667,150.8,5.14,68,12,10.27
175,beringovskiy,RU,2022-02-05 02:29:48,63.05,179.3167,-7.24,86,54,12.19
176,sheridan,US,2022-02-05 02:29:48,44.8333,-106.9173,39.38,61,0,3.0
177,scarborough,GB,2022-02-05 02:26:36,54.2797,-0.4044,39.02,85,2,3.0
178,yellowknife,CA,2022-02-05 02:25:57,62.456,-114.3525,-26.45,76,100,5.75
179,rawson,AR,2022-02-05 02:29:49,-43.3002,-65.1023,59.59,57,86,19.06
180,champerico,GT,2022-02-05 02:29:49,14.3,-91.9167,82.35,71,5,5.1
181,dong hoi,VN,2022-02-05 02:29:50,17.4833,106.6,62.37,89,100,12.03
182,astana,KZ,2022-02-05 02:29:50,51.1801,71.446,-4.05,77,0,6.71
183,porto empedocle,IT,2022-02-05 02:29:51,37.2934,13.5264,49.89,80,1,4.09
184,saint-joseph,RE,2022-02-05 02:29:51,-21.3667,55.6167,79.16,85,100,22.66
185,vitim,RU,2022-02-05 02:30:51,59.4511,112.5578,9.97,92,100,7.2
186,burns lake,CA,2022-02-05 02:30:06,54.2331,-125.7533,35.02,80,100,7.83
187,iqaluit,CA,2022-02-05 02:30:13,63.7506,-68.5145,-16.87,58,75,0.0
188,kedrovyy,RU,2022-02-05 02:30:52,56.1667,91.8167,19.87,83,100,8.72
189,dunedin,NZ,2022-02-05 02:28:02,-45.8742,170.5036,57.11,57,100,6.53
190,gazojak,TM,2022-02-05 02:30:53,41.1875,61.4036,43.23,42,98,15.14
191,caravelas,BR,2022-02-05 02:30:53,-17.7125,-39.2481,75.56,92,100,6.64
192,lexington,US,2022-02-05 02:27:48,37.9887,-84.4777,26.6,86,75,6.91
193,colwyn bay,GB,2022-02-05 02:30:54,53.2948,-3.7267,44.82,79,46,15.77
194,huarmey,PE,2022-02-05 02:30:54,-10.0681,-78.1522,70.88,84,50,8.01
195,jalu,LY,2022-02-05 02:30:54,29.0331,21.5482,49.06,76,0,6.87
196,westport,US,2022-02-05 02:30:55,41.1415,-73.3579,32.76,87,100,1.99
197,laguna,US,2022-02-05 02:29:11,38.421,-121.4238,57.76,54,0,0.0
198,buala,SB,2022-02-05 02:30:55,-8.145,159.5921,83.71,78,100,9.4
199,jayuya,PR,2022-02-05 02:30:56,18.2186,-66.5916,69.44,95,31,1.01
200,elsfleth,DE,2022-02-05 02:30:56,53.2375,8.4566,40.03,97,85,15.39
201,severo-kurilsk,RU,2022-02-05 02:30:57,50.6789,156.125,31.26,85,92,9.22
202,aykhal,RU,2022-02-05 02:30:57,66.0,111.5,-22.13,100,90,5.17
203,guanica,PR,2022-02-05 02:30:57,17.9716,-66.908,74.19,86,1,4.45
204,severobaykalsk,RU,2022-02-05 02:30:57,55.65,109.3167,2.21,91,99,1.05
205,rio grande,BR,2022-02-05 02:30:06,-32.035,-52.0986,73.51,94,0,7.83
206,balikpapan,ID,2022-02-05 02:30:58,-1.2675,116.8289,85.19,74,20,6.91
207,mayo,US,2022-02-05 02:30:58,38.8876,-76.5119,37.42,82,100,3.0
208,perth,AU,2022-02-05 02:30:59,-31.9333,115.8333,102.38,15,0,12.66
